host_since,host_location,host_is_superhost,host_identity_verified,host_has_profile_pic,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,number_of_reviews,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,instant_bookable,bathroom_type,has_license,has_terrace,has_wifi,pet_allowed,has_AC,has_kitchen
4755,spain,True,True,True,eixample,41.39782414629114,2.170576755958843,entire_home_apt,5,1.0,3.0,4.0,251.0,2.0,1125.0,True,4,14,615,62.0,4.77,4.76,4.88,4.88,4.82,4.68,4.11,False,1,True,True,True,False,True,True
4862,spain,False,True,True,ciutat_vella,41.38496,2.17982,private_room,2,1.0,1.0,0.0,90.0,31.0,1125.0,True,30,60,256,669.0,4.75,4.86,4.81,4.88,4.93,4.63,1.6,False,0,False,False,True,False,True,False
4893,spain,False,True,True,eixample,41.37793,2.15978,private_room,2,1.0,1.0,1.0,41.0,3.0,6.0,True,5,8,282,60.0,4.65,4.39,4.88,4.85,4.83,4.72,1.9,False,0,False,True,True,False,True,True
4866,spain,False,True,True,gracia,41.408790588378906,2.1660659313201904,entire_home_apt,2,1.0,1.0,1.0,47.0,120.0,1125.0,True,0,0,67,644.0,4.74,4.86,4.91,4.91,4.45,4.71,0.44,False,1,False,True,True,False,True,True
4566,spain,True,True,True,eixample,41.40131,2.18191,private_room,2,1.5,1.0,1.0,63.0,3.0,60.0,True,5,17,281,65.0,4.81,4.82,4.9,4.91,4.87,4.8,1.92,False,0,True,False,True,False,False,False
4918,spain,False,True,True,gracia,41.40271,2.16646,entire_home_apt,4,1.0,1.0,2.0,94.0,1.0,1125.0,True,13,25,61,81.0,4.15,4.21,4.13,4.38,4.66,4.08,0.42,False,1,True,True,True,True,True,True
4838,spain,False,True,True,eixample,41.40653,2.1746,entire_home_apt,8,2.0,3.0,6.0,588.0,2.0,32.0,True,10,32,125,92.0,4.41,4.54,4.6,4.6,4.84,4.38,0.79,False,1,True,True,True,False,True,True
4695,spain,False,True,True,sant_marti,41.40349,2.20414,entire_home_apt,5,1.0,2.0,3.0,193.0,1.0,1125.0,True,6,11,114,53.0,4.17,3.96,4.63,4.65,4.41,4.08,0.78,True,1,True,True,True,False,True,True
4838,spain,False,True,True,eixample,41.40647,2.17457,entire_home_apt,8,2.0,3.0,6.0,516.0,2.0,30.0,True,4,29,52,85.0,4.58,4.6,4.8,4.9,4.86,4.6,0.33,False,1,True,True,True,False,True,True
4838,spain,False,True,True,eixample,41.40653,2.1746,entire_home_apt,8,2.0,3.0,5.0,534.0,2.0,28.0,True,9,31,60,69.0,4.6,4.63,4.6,4.77,4.9,4.55,0.39,False,1,True,True,True,False,True,True
4563,spain,True,True,True,sant_marti,41.39253234863281,2.19325590133667,entire_home_apt,4,1.0,1.0,2.0,249.0,1.0,365.0,True,7,21,65,69.0,4.63,4.34,4.98,4.98,4.82,4.25,0.53,True,1,True,True,True,True,True,True
4818,spain,True,True,True,sants_montjuic,41.37155,2.13664,entire_home_apt,2,2.0,1.0,1.0,117.0,3.0,1125.0,True,11,16,423,57.0,4.85,4.94,4.94,4.9,4.72,4.81,2.72,False,1,True,True,True,False,True,True
4811,spain,False,True,True,sant_marti,41.39787,2.20429,entire_home_apt,6,1.5,3.0,0.0,196.0,2.0,330.0,True,22,52,133,78.0,4.66,4.7,4.69,4.8,4.84,4.58,0.86,False,1,True,True,True,False,True,True
4768,spain,False,True,True,ciutat_vella,41.37732,2.19049,entire_home_apt,2,1.0,1.0,1.0,120.0,31.0,120.0,True,0,13,78,2154.0,4.9,4.87,4.91,4.95,4.88,4.82,0.53,False,1,True,False,True,True,True,True
4809,spain,False,True,True,sant_marti,41.39047,2.19698,entire_home_apt,6,2.5,4.0,4.0,250.0,31.0,66.0,True,8,17,4,3264.0,4.75,4.75,4.75,4.75,4.75,4.5,0.04,False,1,True,True,True,False,False,True
4557,spain,False,True,True,gracia,41.40172,2.16322,entire_home_apt,6,1.0,2.0,4.0,219.0,6.0,1125.0,True,1,2,3,3313.0,4.0,4.67,4.33,5.0,4.33,4.33,0.02,True,1,True,False,True,False,True,True
4825,spain,True,True,True,les_corts,41.38832,2.12201,private_room,1,1.0,1.0,1.0,45.0,32.0,1125.0,True,0,0,135,71.0,4.61,4.53,4.8,4.77,4.79,4.59,0.87,False,0,False,True,True,True,True,True
4838,spain,False,True,True,eixample,41.40653,2.1746,entire_home_apt,8,2.0,3.0,6.0,483.0,2.0,28.0,True,3,16,125,64.0,4.52,4.55,4.62,4.68,4.91,4.52,0.8,False,1,True,True,True,False,True,True
4798,spain,True,True,True,horta_guinardo,41.42337,2.1749,private_room,1,1.0,1.0,1.0,18.0,31.0,1125.0,True,5,8,131,248.0,4.25,4.18,4.73,4.53,4.58,4.37,1.18,False,0,True,True,True,True,False,True
4557,spain,False,True,True,eixample,41.39993,2.16536,entire_home_apt,4,1.0,1.0,1.0,193.0,3.0,1125.0,True,10,16,37,121.0,4.46,4.51,4.89,4.89,4.78,4.24,0.34,True,1,True,False,True,False,True,True
4792,spain,False,True,True,ciutat_vella,41.38615,2.17636,private_room,1,1.0,1.0,0.0,60.0,30.0,30.0,True,29,34,22,679.0,5.0,4.86,5.0,4.95,4.95,4.86,0.36,False,0,False,False,True,False,True,False
4557,spain,False,True,True,gracia,41.40735,2.15885,entire_home_apt,7,2.0,3.0,5.0,238.0,3.0,1125.0,True,6,8,38,91.0,4.55,4.68,4.87,4.82,4.84,4.34,0.31,True,1,True,False,True,False,True,True
4838,spain,False,True,True,eixample,41.4064,2.17449,entire_home_apt,6,2.0,3.0,6.0,490.0,2.0,30.0,True,8,35,68,267.0,4.51,4.6,4.78,4.75,4.93,4.56,0.46,False,1,True,True,True,False,True,True
4557,spain,False,True,True,gracia,41.40399,2.15565,entire_home_apt,7,2.0,3.0,4.0,236.0,3.0,1125.0,True,3,8,110,67.0,4.49,4.53,4.76,4.81,4.89,4.38,0.81,True,1,True,False,True,False,True,True
4798,spain,True,True,True,ciutat_vella,41.38651,2.18271,entire_home_apt,10,2.0,5.0,7.0,314.0,32.0,300.0,True,0,23,28,337.0,4.69,4.59,4.63,4.78,4.89,4.56,0.19,False,1,False,True,True,False,True,True
4916,spain,False,True,True,sant_marti,41.40671,2.18592,entire_home_apt,4,1.0,2.0,2.0,160.0,3.0,330.0,True,3,4,108,55.0,4.83,4.83,4.9,4.97,4.83,4.64,0.8,False,1,True,True,True,False,True,True
4691,spain,False,True,True,ciutat_vella,41.38512,2.17129,private_room,3,1.0,1.0,0.0,70.0,31.0,120.0,True,27,57,32,3947.0,4.58,4.56,4.63,4.53,4.97,4.66,0.22,False,1,False,True,True,False,True,True
4916,spain,False,True,True,sant_marti,41.40681,2.18553,entire_home_apt,3,1.0,2.0,3.0,160.0,3.0,330.0,True,0,0,58,93.0,4.74,4.67,4.95,4.95,4.81,4.59,0.82,False,1,True,True,True,False,True,True
4838,spain,False,True,True,eixample,41.40653,2.17455,entire_home_apt,8,1.0,3.0,6.0,433.0,2.0,28.0,True,5,14,29,70.0,4.38,4.45,4.62,4.59,4.79,4.38,0.27,False,1,True,True,True,False,True,True
4938,spain,False,False,True,eixample,41.39258,2.17692,entire_home_apt,6,2.0,3.0,4.0,411.0,2.0,730.0,True,16,41,120,83.0,4.69,4.87,4.88,4.82,4.83,4.52,0.78,True,1,True,True,True,False,True,True
4555,spain,False,True,True,sant_marti,41.3922,2.18805,private_room,4,1.5,1.0,1.0,200.0,7.0,210.0,True,23,53,17,1762.0,4.76,5.0,5.0,5.0,5.0,5.0,0.12,False,0,True,False,True,False,True,True
4744,spain,True,True,True,eixample,41.38842,2.16108,entire_home_apt,8,4.0,4.0,5.0,671.0,2.0,27.0,True,1,13,417,57.0,4.95,4.91,4.99,4.96,4.93,4.9,2.69,False,1,True,True,True,False,True,True
4838,spain,False,True,True,eixample,41.4066,2.17459,entire_home_apt,8,2.0,4.0,7.0,483.0,2.0,32.0,True,13,37,147,60.0,4.48,4.59,4.65,4.68,4.86,4.43,0.95,False,1,True,True,True,False,True,True
4639,spain,False,True,True,eixample,41.39271,2.17974,entire_home_apt,6,2.0,3.0,4.0,239.0,1.0,1125.0,True,4,8,89,138.0,4.56,4.61,4.73,4.72,4.76,4.36,0.67,True,1,True,True,True,False,True,True
4739,spain,True,True,True,sant_marti,41.40805,2.21487,entire_home_apt,8,2.0,4.0,6.0,431.0,2.0,365.0,True,5,9,116,67.0,4.7,4.57,4.75,4.87,4.82,4.68,0.78,False,1,True,True,True,True,True,True
